School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
ARTHUR JACOBSEN ELEM,Elem,AUBURN SD,2009,82.88,60.44,Public,47.42,7.51,7.98,213,,
ARTONDALE ELEMENTARY,Elem,PENINSULA SD,2010,70.28,53.85,Public,13.49,,19.03,289,,
ARTONDALE ELEMENTARY,Elem,PENINSULA SD,2009,74.38,55.88,Public,11.04,,18.3,317,,
ARTONDALE ELEMENTARY,Elem,PENINSULA SD,2008,74.91,59.38,Public,10.41,,18.61,317,,
ARTS & ACADEMICS ACA,High,HIGHLINE SD,2010,8,4,Public,47.37,27.63,13.16,76,66.93,68.91
ARTS & ACADEMICS ACA,High,HIGHLINE SD,2008,32.14,15.91,Public,62.5,27.08,12.5,96,,
ARTS & ACADEMICS ACA,High,HIGHLINE SD,2009,47.37,21.05,Public,72.15,32.91,,79,89.02,79.52
ARTZ FOX ELEMENTARY,Elem,MABTON SD,2010,31.82,40,Public,92.44,36.43,14.43,291,,
ARTZ FOX ELEMENTARY,Elem,MABTON SD,2008,47.62,36.4,Public,90.94,43.62,8.05,298,,
ARTZ FOX ELEMENTARY,Elem,MABTON SD,2009,54.55,40.24,Public,88.52,37.38,12.13,305,,
AS #1 (PINEHURST) K-,Comprehensive,SEATTLE PS,2008,36.67,20.63,Alternative,,,,153,,
AS #1 (PINEHURST) K-,Comprehensive,SEATTLE PS,2009,46.84,26.32,Alternative,,,,138,,
AS #1 K-8 SCHOOL,Comprehensive,SEATTLE PS,2010,45.78,20.63,Alternative,42.57,0,21.62,148,,
ASOTIN ELEMENTARY,Elem,ASOTIN-ANATONE SD,2010,67.83,44.58,Public,41.92,0,19.19,198,,
ASOTIN ELEMENTARY,Elem,ASOTIN-ANATONE SD,2008,69.7,50,Public,44.69,0,17.32,179,,
ASOTIN ELEMENTARY,Elem,ASOTIN-ANATONE SD,2009,70.64,54.76,Public,43.52,0,17.1,193,,
ASOTIN JR SR HIGH,Comprehensive,ASOTIN-ANATONE SD,2009,57.32,37.78,Public,36.64,0,15.27,131,100,
ASOTIN JR SR HIGH,Comprehensive,ASOTIN-ANATONE SD,2008,63.44,41.94,Public,25.4,0,15.87,126,91.67,90
ASOTIN JR SR HIGH,Comprehensive,ASOTIN-ANATONE SD,2010,63.95,36.96,Public,34.81,0,14.07,135,100,
ASPIRE MIDDLE SCHOOL,Middle,NORTH THURSTON PS,2010,91.11,74.58,Public,20.77,0,,284,,
AUBURN MOUNTAINVIEW,High,AUBURN SD,2009,49.57,37.9,Public,36.48,6.56,7.61,381,97.85,90.98
AUBURN MOUNTAINVIEW,High,AUBURN SD,2010,50,36.5,Public,40.93,4.67,7.42,364,92.26,90.89
AUBURN MOUNTAINVIEW,High,AUBURN SD,2008,56.44,38.96,Public,27.95,3.46,6.34,347,94.56,94.93
AUBURN RIVERSIDE HIG,High,AUBURN SD,2010,53.27,24.59,Public,30,4.67,6.22,450,94.78,89.81
AUBURN RIVERSIDE HIG,High,AUBURN SD,2009,54.15,27.38,Public,24.7,5.28,6.71,417,95.65,85.52
AUBURN RIVERSIDE HIG,High,AUBURN SD,2008,57.1,34.83,Public,21.85,3.57,6.3,476,95.82,88.67
AUBURN SENIOR HIGH S,High,AUBURN SD,2010,42.31,22.16,Public,52.16,7.45,10.58,416,85.49,71.87
AUBURN SENIOR HIGH S,High,AUBURN SD,2009,45.02,23.19,Public,46.21,6.47,11.61,448,83.78,66.84
AUBURN SENIOR HIGH S,High,AUBURN SD,2008,50.56,26.6,Public,33.62,8.72,10.21,470,90.17,83.47
AUDUBON ELEMENTARY,Elem,LAKE WASHINGTON SD,2009,82.51,63.16,Public,7.66,6.85,13.71,248,,
AUDUBON ELEMENTARY,Elem,LAKE WASHINGTON SD,2010,85.54,58.06,Public,11.23,4.71,11.96,276,,
AUDUBON ELEMENTARY,Elem,LAKE WASHINGTON SD,2008,87.88,63.16,Public,8.93,10.27,10.71,224,,
AUDUBON ELEMENTARY,Elem,SPOKANE SD,2009,53.06,49.52,Public,81.44,6.06,21.59,264,,
AUDUBON ELEMENTARY,Elem,SPOKANE SD,2010,62.9,41.29,Public,76.6,4.15,20,265,,
AUDUBON ELEMENTARY,Elem,SPOKANE SD,2008,77.36,54.19,Public,81.12,,20.28,286,,
AVANTI HIGH SCHOOL,High,OLYMPIA SD,2010,14.29,15.38,Alternative,36.84,0,,38,85.58,61.54
AVANTI HIGH SCHOOL,High,OLYMPIA SD,2008,36.84,,Alternative,,,,28,39.15,9.38
AVANTI HIGH SCHOOL,High,OLYMPIA SD,2009,40.74,,Alternative,,,,34,91.43,46.67
AVIATION HIGH SCHOOL,High,HIGHLINE SD,2008,83.7,,Public,,0,,100,,
AVIATION HIGH SCHOOL,High,HIGHLINE SD,2010,84.71,71.43,Public,20.18,,,109,95.29,100
AVIATION HIGH SCHOOL,High,HIGHLINE SD,2009,92.5,81.82,Public,23.15,,,108,96.69,
AYLEN JR HIGH,Middle,PUYALLUP SD,2009,54.79,42.98,Public,27.66,4.89,11.91,470,,
AYLEN JR HIGH,Middle,PUYALLUP SD,2008,56.71,36.75,Public,28.27,4.71,13.28,467,,
AYLEN JR HIGH,Middle,PUYALLUP SD,2010,64.6,46.85,Public,31.61,6.16,10.54,503,,
B F DAY ELEMENTARY S,Elem,SEATTLE PS,2010,56.25,43.48,Public,46.4,21.6,13.6,125,,
B F DAY ELEMENTARY S,Elem,SEATTLE PS,2009,77.33,53.49,Public,38.52,11.48,,122,,
B F DAY ELEMENTARY S,Elem,SEATTLE PS,2008,79.1,43.18,Public,40.83,15.83,,120,,
